PLACE, POPULATION, LATITUDE, LONGITUDE, ALTITUDE, THROUGHPUT_REQUIRED_PER_USER
Sasvand, 266, 20.043720344000462, 72.90108013600053, 65.9768295288086, 1
Chinchale, 1449, 20.017120082000474, 72.88862015000052, 80.04505157470703, 1
Pandhartaragaon, 1230, 20.051370095000436, 72.92776012400049, 78.54051208496094, 1
Karanjvira, 1213, 20.02785030500047, 72.93338007300054, 91.93329620361328, 1
Shisne, 1910, 19.114759599000422, 72.89433945000053, 30.42153549194336, 1
Naruli, 1398, 20.03304030500044, 72.9957301880005, 130.8369750976562, 1
Saiwan, 2266, 19.256029063000426, 72.97673613800049, 19.20017242431641, 1
Chalani, 3313, 16.66043889000042, 74.20900578900051, 605.604248046875, 1
Sonale, 905, 19.021136407000427, 72.8419056030005, 9.53766918182373, 1
Vivalvedhe, 1754, 19.967630005000444, 72.89667030900051, 85.47259521484375, 1
Awadhani, 2137, 19.967630005000444, 72.89667030900051, 85.47259521484375, 1
Navnath, 1751, 19.417758211000432, 72.81788673400052, 3.467678785324097, 1
Chandwad, 1282, 20.33332796500048, 74.24999715100051, 767.8413696289062, 1
Vadhane, 1357, 20.054199735000452, 73.8032992900005, 629.0139770507812, 1
Ranshet, 2173, 17.534436833000427, 73.51001981500053, 10.79712677001953, 1
Charoti, 4520, 21.14061932800047, 79.0622661210005, 314.1413879394531, 1
Vaghadi, 1560, 21.383327791000454, 74.84999640900048, 159.0, 1
Suryanagar, 786, 21.152916737000453, 79.14845597300052, 290.8248901367188, 1
Varoti, 1365, 19.911040071000457, 72.9370403360005, 44.70000076293945, 1
Bhisenagar, 3693, 19.912900100000456, 72.91882016900053, 55.07121276855469, 1
Sarani, 1613, 19.119817150000472, 72.8482185420005, 14.88447093963623, 1
Nikane, 1975, 19.147966652000434, 72.92750600700049, 30.34143257141113, 1
Rankol, 2917, 19.87553010700043, 72.8477400910005, 27.6338062286377, 1
Dabhon, 3444, 21.133859861000474, 79.0739500840005, 309.7752685546875, 1
Urse, 1095, 18.51380642600043, 73.86863799200052, 564.684814453125, 1
Mhasad, 422, 19.872390196000424, 72.89736007800053, 36.94362640380859, 1
Ambivali, 798, 19.00407842000044, 73.17659940200053, 28.14707374572754, 1
Nikavali, 524, 19.912900100000456, 72.91882016900053, 55.07121276855469, 1
Ghol, 1655, 18.94560017100042, 72.82913101800051, 15.69111442565918, 1
Tawa, 1905, 18.96173717700043, 72.82873977100053, 8.0482177734375, 1
Dhamatane, 1331, 19.79999929200045, 72.81666734200053, 33.40435791015625, 1
Peth, 734, 18.916669177000472, 73.91666673000049, 767.5648193359375, 1
Dhakti Dahanu, 4903, 19.987721200000465, 72.7525113420005, 12.45762538909912, 1
Dabhale, 1328, 19.878480314000456, 72.7908301870005, 17.25424766540527, 1
Khambale, 1104, 21.449998374000472, 75.06666568200052, 298.7713623046875, 1
Vangaon, 7649, 19.866669876000458, 72.74999675800052, 17.19395637512207, 1
Kolavali, 2048, 19.862640172000454, 72.7429200310005, 22.24512100219727, 1
Vanai, 2953, 18.624496604000456, 73.85831590800052, 598.0, 1
Chandranagar, 2039, 21.149209066000424, 79.14777653300052, 290.7681579589844, 1
Bhavadi, 201, 18.47334601600045, 73.9788557120005, 572.9650268554688, 1
Kosesari, 1092, 19.947670110000445, 73.00370026500053, 75.03439331054688, 1
Murbad, 3004, 19.249999598000443, 73.39999557900052, 74.07941436767578, 1
Vangarje, 2702, 19.87537030000044, 72.94905008600051, 56.26355743408203, 1
Vikramgad, 137625, 18.513558948000423, 73.83258719200052, 570.8383178710938, 1
Therunde, 910, 19.93821015800046, 72.94875004700049, 62.40143203735352, 1
Kawadas, 644, 19.92751018800044, 72.96898008400052, 72.94357299804688, 1
Dhamani, 1323, 17.616667036000422, 74.64999815600049, 709.7037353515625, 1
Sarshi, 3025, 18.935405514000422, 72.83343735400052, 17.50202560424805, 1
Talawade, 3582, 20.94909832300044, 76.2084978580005, 232.3236236572266, 1
Khadaki, 2424, 18.566667735000465, 73.86666716700051, 559.112548828125, 1
