Bhokari, 21.166668, 75.366668, 176.813614, 4.24316, 61.264, 1388, 0.882767
Chinchghar, 19.769080, 73.002820, 30.569126, 1.48015, 76.1947, 1749, 0.871295
Bandhanwadi, 18.870139, 73.102657, 21.582554, 1.3107, 78.1504, 1831, 0.853636
Bandhan, 18.870139, 73.102657, 21.582554, 1.3107, 78.1504, 1831, 0.853636
Kondesakhare, 19.261900, 73.463840, 101.286446, 2.7953, 66.7828, 1586, 0.842153
Valshet, 19.419290, 73.309570, 59.251553, 2.01349, 71.4761, 1702, 0.839907
Pendharghol, 19.526670, 73.374850, 192.707748, 4.5575, 60.3659, 1466, 0.823546
Vedvahal, 19.509920, 73.204480, 96.911583, 2.7134, 67.1947, 1646, 0.816461
Shenawe, 19.448170, 73.434390, 93.221199, 2.64444, 67.5535, 1663, 0.812429
Konderi, 19.291690, 73.204730, 22.755602, 1.33294, 77.8765, 1923, 0.809948
Vehloli, 19.372400, 73.514300, 82.143150, 2.43804, 68.6989, 1697, 0.809651
Vaghadi, 21.383328, 74.849996, 159.000000, 3.89512, 62.357, 1560, 0.799449
Shisne, 19.114760, 72.894339, 30.421535, 1.47738, 76.2244, 1910, 0.798162
Mangrul, 19.166667, 73.149998, 29.887651, 1.46736, 76.3325, 1941, 0.786528
Borsheti, 19.833328, 72.849996, 28.377127, 1.43899, 76.6436, 1949, 0.786491
Mhasaroli, 19.711880, 72.978530, 23.027229, 1.33808, 77.814, 2043, 0.761762
Khanivali, 19.583090, 73.046450, 35.011765, 1.56329, 75.333, 2137, 0.705035
Ranishigaon, 19.825120, 72.781850, 23.330685, 1.34382, 77.7445, 2209, 0.703889
Dhamane, 19.799999, 72.816667, 33.404358, 1.53325, 75.6378, 2162, 0.699702
Dhamatane, 19.799999, 72.816667, 33.404358, 1.53325, 75.6378, 2162, 0.699702
Phalegaon, 19.307930, 73.280550, 33.820438, 1.54103, 75.5581, 2263, 0.66777
Kondhale, 19.510880, 73.113170, 36.778629, 1.59627, 75.0065, 2268, 0.661433
Ghonsai, 19.474300, 73.069200, 26.230364, 1.39858, 77.0998, 2334, 0.660667
Bursunge, 19.448300, 73.588150, 163.667206, 3.98589, 62.0609, 1893, 0.655689
Dighashi, 19.478730, 73.105050, 35.848354, 1.57891, 75.1773, 2296, 0.654855
Ozarli, 19.320210, 73.213140, 31.143713, 1.49092, 76.0798, 2340, 0.650255
Kinhawali, 19.354219, 73.479256, 77.518486, 2.35211, 69.211, 2163, 0.639954
Vyahali, 20.046970, 73.031570, 177.364929, 4.254, 61.2317, 1915, 0.639496
Damkhind, 19.754380, 72.885760, 28.201221, 1.43568, 76.6803, 2400, 0.639003
Kudan, 19.783328, 73.083327, 48.321732, 1.81093, 73.0658, 2334, 0.626099
Nevali, 19.181039, 73.142056, 23.094271, 1.33935, 77.7986, 2496, 0.623386
Khuded, 19.848850, 73.140290, 167.615738, 4.06291, 61.816, 1994, 0.62002
Savarkhand, 19.592120, 73.161350, 69.845863, 2.20977, 70.1115, 2285, 0.613667
Gargaon, 19.837850, 72.813760, 31.917051, 1.50541, 75.9268, 2479, 0.61256
Dabhadi, 21.549998, 74.450000, 135.541412, 3.44329, 63.966, 2099, 0.60949
Sasvand, 20.043720, 72.901080, 65.976830, 2.13807, 70.5923, 2325, 0.607245
Rayate, 19.250000, 73.216668, 32.579964, 1.51782, 75.7971, 2516, 0.602521
Osarvira, 20.015620, 72.925860, 94.963295, 2.67698, 67.3828, 2249, 0.599224
Raipada, 19.469306, 72.862676, 23.182655, 1.34102, 77.7784, 2654, 0.586122
Brahmanpada, 19.239995, 72.981354, 37.007118, 1.60054, 74.9649, 2571, 0.583158
Ruighar, 20.118690, 73.227650, 99.043526, 2.75329, 66.9922, 2336, 0.573564
Vevaji, 20.148228, 72.802728, 29.316090, 1.45663, 76.4493, 2672, 0.572225
Pofodi, 19.422350, 73.476630, 110.733833, 2.97277, 65.9382, 2325, 0.567211
Khutal, 19.706630, 72.967140, 28.519030, 1.44166, 76.614, 2714, 0.564584
Wehelpada, 19.858370, 73.096590, 93.777611, 2.65483, 67.4987, 2459, 0.548993
